#{"env_id": "Walker2d-v1", "t_start": 1522284515.939638}
r,l,t
-0.283095,17,1.055604
-7.819669,17,1.174407
4.898931,29,1.37838
5.700783,23,1.531029
1.514715,29,1.719336
14.485327,38,1.959983
58.060651,124,3.124789
156.832555,194,4.997889
268.706747,174,6.65014
129.262329,186,8.045274
118.71068,176,9.411541
332.497946,275,11.50874
67.400818,126,12.464461
293.262211,230,14.431654
171.801029,141,15.486907
51.103502,107,16.270534
110.20288,142,17.397929
130.287707,127,18.312817
80.411247,131,19.275927
183.31742,248,21.189238
92.794912,145,22.589249
45.022033,93,23.658966
465.519232,348,28.357111
869.302626,742,34.782679
354.764888,235,36.831761
403.878543,303,39.195552
46.359739,92,39.919641
1081.738632,1000,48.491609
1142.621284,939,56.331832
685.903043,531,60.636442
405.953256,268,62.961467
126.948483,143,64.129767
1094.192849,1000,72.56729
455.075652,336,75.882624
629.138913,467,80.05606
914.234495,767,86.541712
778.749428,596,92.091824
533.392409,358,95.187496
548.295721,375,98.509082
534.568299,365,101.808043
536.982703,383,105.304497
532.042225,363,108.509299
582.009624,411,112.294976
635.192232,463,116.626045
618.7583,448,120.943992
603.292575,428,125.095725
626.480049,452,129.516781
566.103406,395,133.306028
538.907867,362,136.829375
531.556246,357,140.374345
571.176912,394,144.314891
693.726869,517,149.729646
543.328593,370,153.304575
184.95436,228,155.644592
565.799514,389,159.607027
617.897942,446,164.246868
758.516894,585,170.302483
620.594703,443,174.872174
88.81789,122,176.074338
84.490287,117,177.241212
116.356116,143,178.796914
107.627229,139,180.308489
673.41489,499,185.518915
137.238325,176,187.290743
134.804719,175,189.054368
687.483229,513,194.431971
122.350875,162,196.256151
180.829165,218,198.475319
697.39473,524,204.087472
130.277413,165,205.929519
173.659203,209,208.141602
700.750124,526,213.878876
768.723284,597,220.270112
656.446534,483,225.502038
154.251283,194,227.679362
788.152297,617,234.423385
93.603235,130,235.791382
84.724917,117,237.062289
138.439789,175,239.146425
84.126455,120,240.466412
127.229664,160,242.242149
146.646885,180,244.323911
106.202192,140,245.888836
907.295386,735,254.203099
757.279208,585,260.89225
116.234128,152,262.727948
98.68465,135,264.233666
104.130831,139,265.771137
145.462637,179,267.992091
781.290911,607,275.32926
943.993945,773,284.605962
185.381584,222,287.310564
229.448853,269,290.361891
798.786992,626,297.749653
724.585465,550,304.120574
782.332979,609,311.269382
731.061924,558,317.946822
811.546265,639,325.415288
168.731759,205,327.956433
772.281965,601,335.109532
171.140966,206,337.523966
185.655422,222,340.257769
914.903078,743,349.63469
169.44704,205,352.212166
221.055146,258,355.352292
134.593527,168,357.538392
958.045148,786,367.268071
140.670126,177,369.592638
809.137973,636,377.624753
874.902376,703,386.588051
848.81604,675,395.312751
792.986731,620,403.190882
864.869714,692,412.126495
785.486249,612,420.102663
759.082911,586,427.790836
825.651184,653,436.42493
869.931405,696,445.572726
759.139177,586,453.504047
933.124257,760,463.557477
918.06838,745,473.367648
805.769886,634,481.940681
838.574287,667,490.837098
941.059827,768,501.232567
761.148455,589,509.181736
845.351127,672,518.149105
168.808681,202,521.047487
807.9284,636,529.865248
781.812266,609,538.212915
161.898571,195,540.848703
832.91637,660,550.181517
768.543976,596,558.45566
194.963622,228,561.707435
186.592847,220,565.017298
807.470437,634,574.092843
390.712618,425,580.197543
770.620277,598,588.801981
197.420256,231,592.243752
783.080322,611,601.158745
142.113627,174,603.619276
113.719647,145,605.692057
795.479546,624,614.90604
790.353028,618,623.885158
106.976724,138,625.893856
107.625811,139,627.958947
170.572778,203,631.226271
763.747226,591,640.054367
787.472711,614,649.565277
774.895011,601,658.689014
857.422763,686,669.035467
158.850214,191,671.868196
785.120006,611,681.327213
131.869535,163,683.954485
739.652804,566,692.641566
727.895814,555,701.107657
98.244193,128,703.041776
825.151103,652,713.35067
773.933432,601,722.651777
776.187543,604,731.974754
345.942241,303,736.833456
152.787881,184,740.322696
747.011203,575,749.358655
801.141424,627,759.247538
743.750519,570,768.459616
115.829158,146,770.694826
784.695998,612,780.540247
730.767285,557,789.451924
818.002281,644,799.96066
782.049292,610,810.086156
780.84568,607,819.974095
152.933713,185,822.967346
124.369812,156,825.671953
277.682913,312,830.767646
139.507673,171,833.660997
843.607723,671,844.761767
774.186254,601,854.822268
438.400308,394,861.712218
829.624988,656,872.679388
814.620328,642,883.440069
769.717925,597,893.728926
448.870901,404,900.489994
124.168489,155,903.295019
799.826648,628,913.985273
786.826658,614,924.610496
199.532984,232,928.755262
109.546499,140,931.145389
444.910831,399,938.240558
109.896148,141,940.608045
192.759008,225,944.868428
137.472649,169,947.77389
833.417803,660,959.499663
440.637442,397,966.85224
135.863742,168,969.94308
792.002548,620,981.58538
188.152017,220,985.399525
855.06304,682,997.404259
126.621301,157,1000.265031
906.507301,734,1013.252645
794.009158,621,1024.278816
193.805253,226,1028.448004
154.726138,186,1031.732451
1013.43502,842,1046.956279
855.779915,683,1059.375556
819.643692,646,1071.325248
490.081181,446,1079.393323
190.028999,221,1083.538673
809.681539,637,1095.223165
234.858332,268,1100.204576
770.749893,599,1111.479446
841.765104,669,1124.117369
819.056244,646,1136.614084
165.507426,197,1140.26622
449.261569,404,1147.854381
838.921134,665,1160.349017
140.147366,171,1163.614308
530.890621,488,1172.847962
587.69708,544,1183.222696
447.022577,403,1191.017914
427.919309,384,1198.360488
450.958523,407,1206.236029
470.717472,426,1214.57211
113.487839,144,1217.322522
124.436732,155,1220.233715
798.984204,625,1232.610686
149.593188,181,1236.04484
464.261611,421,1244.506212
499.039184,454,1253.441731
622.685891,450,1262.298422
549.277322,505,1272.759384
697.27547,515,1283.808357
527.497984,483,1293.992266
137.054813,169,1297.457834
142.476511,174,1301.093316
479.690192,437,1310.743244
766.634865,594,1323.470825
182.90207,215,1328.41054
492.041939,447,1338.158446
487.010512,443,1347.496119
121.300891,152,1350.681082
533.288124,488,1360.911947
219.345051,252,1366.16367
678.81057,505,1376.831753
732.373831,558,1388.636092
156.671953,188,1394.063459
479.563582,435,1403.266767
154.372306,186,1407.088037
738.195831,563,1418.704325
175.098979,207,1423.091172
748.798678,575,1435.003528
195.090647,227,1439.709744
496.682583,452,1449.230754
610.22946,434,1458.455625
166.683852,199,1462.61776
153.870988,185,1466.616156
117.529443,148,1469.690647
160.415121,192,1473.809037
737.867361,561,1486.151061
517.040593,473,1495.89559
162.470749,194,1500.052586
162.060939,194,1504.077727
586.029424,411,1512.757652
615.478945,431,1521.808882
133.371641,165,1525.271789
182.953683,215,1529.952589
521.061885,477,1540.14399
485.617705,441,1550.044933
725.747774,553,1563.642565
136.596355,168,1567.077755
544.747231,370,1575.070417
556.417688,383,1583.560552
712.730903,537,1595.421102
462.009101,418,1604.420948
461.827597,419,1613.722684
603.748865,428,1623.051358
468.739904,426,1632.433202
609.816091,434,1642.255856
709.016772,533,1654.270237
255.703973,288,1660.516496
640.409939,461,1671.002307
478.234157,435,1680.798251
633.608054,457,1691.153378
123.167814,154,1694.553051
611.635522,433,1704.206188
148.84144,180,1708.415351
185.770193,218,1713.249023
703.706628,522,1725.26169
456.388704,413,1734.71725
205.416347,239,1740.070344
724.890492,551,1752.744491
636.511032,454,1762.93128
652.424708,478,1773.879956
750.700978,580,1787.379971
625.440311,447,1797.752448
134.562222,165,1801.508355
135.773442,168,1805.270666
632.889754,460,1816.064132
614.251639,434,1826.163617
558.297559,382,1835.214035
283.136957,316,1842.810808
578.297027,401,1852.30252
147.938251,179,1856.637976
178.576564,210,1861.483198
275.201191,308,1868.870073
123.694697,155,1872.448614
655.048396,483,1884.039081
645.956788,471,1895.398476
120.496884,152,1898.95117
170.254902,202,1903.580045
563.954233,388,1912.90863
595.083492,416,1922.998476
154.09012,186,1927.416709
250.821601,283,1934.36657
587.252239,410,1944.217301
125.691588,156,1947.964819
176.817008,209,1953.228744
585.763113,405,1962.76787
145.899822,177,1967.187975
134.272213,165,1971.046197
637.953483,462,1982.206068
602.670455,423,1992.389776
609.264012,429,2002.836088
167.978576,200,2007.700569
624.040536,448,2018.550592
628.573647,451,2029.655278
597.479183,419,2039.805536
537.537417,361,2048.572413
585.027085,408,2058.789946
539.845809,364,2067.784388
130.525424,161,2071.678167
160.274605,191,2076.552242
591.973579,416,2087.11855
177.88504,209,2092.126659
666.031204,491,2104.434219
608.629749,428,2115.131838
113.615663,144,2118.724706
105.450481,136,2122.056518
627.714053,448,2133.39896
589.003493,412,2144.091814
114.141441,144,2147.669452
790.412757,614,2163.595221
601.364971,423,2174.259017
185.341412,217,2180.1825
125.757038,156,2184.069779
705.575927,524,2197.659916
590.604302,419,2208.582999
570.882552,395,2218.685415
611.896755,439,2231.667827
535.756302,362,2242.310194
699.283073,523,2257.13158
585.480997,406,2270.563506
