#{"env_id": "Walker2d-v1", "t_start": 1522284515.561102}
r,l,t
1.122509,18,1.438674
-2.09837,10,1.509074
-2.690553,15,1.618333
-1.347018,11,1.695166
2.410102,28,1.879324
3.755349,14,1.97029
-4.544392,54,2.316769
41.422003,94,3.057734
147.66241,113,4.144146
89.903122,131,5.523527
46.911514,54,6.268172
62.047742,121,7.16626
139.202507,123,8.085677
169.909997,112,8.894538
-2.375757,18,9.028366
69.389482,117,9.969059
72.924249,131,11.021667
168.106292,162,12.232128
4.759355,29,12.439562
361.258528,289,14.851081
13.544388,28,15.063681
188.710229,127,16.007572
309.996699,217,17.693459
12.396051,30,17.902348
337.639222,273,19.886281
1044.358604,1000,30.631776
40.123122,73,31.252698
50.731157,93,32.058608
26.576566,76,32.767381
418.747226,333,35.407818
478.540625,315,38.080413
859.663738,707,43.906872
778.377151,646,49.512223
901.062488,746,55.723309
655.79985,499,59.780147
521.005721,366,62.791849
80.475144,119,63.844993
602.750554,509,68.139099
614.663853,465,72.065398
138.10132,175,73.520853
873.076272,708,80.197273
588.422768,438,83.961711
595.206056,448,87.797164
724.759907,556,92.924654
654.519619,465,97.042
640.671624,449,100.898199
150.096378,189,102.675968
581.314313,408,106.405855
578.189501,405,110.144822
597.63483,427,113.957096
642.106898,467,118.326424
627.879982,456,122.713362
131.844108,180,124.557884
585.348045,411,128.493473
579.068323,399,132.385578
553.433819,382,136.134914
550.595057,379,139.891491
563.10091,388,143.669588
594.610922,422,148.091503
570.269367,398,152.064192
529.138296,356,155.677963
534.964336,362,159.375571
135.157814,174,161.07552
590.83307,418,165.485189
605.504983,429,169.938862
607.927717,428,174.261359
86.859247,121,175.562277
92.30843,121,176.759669
117.961193,149,178.290585
139.514502,169,180.196499
112.297026,142,181.607653
608.178247,434,186.169083
713.871717,538,191.762592
127.098468,160,193.399719
128.823938,166,195.10579
129.487679,170,196.999428
111.17476,147,198.493446
140.992543,182,200.386239
106.657015,143,201.994896
88.456137,126,203.314521
