#{"t_start": 1522281074.079685, "env_id": "Walker2d-v1"}
r,l,t
-3.41898,17,0.304633
-3.167912,16,0.402867
-3.25827,12,0.477661
0.271139,21,0.636085
-0.208839,13,0.73337
1.671249,30,0.995371
-6.131781,15,1.09619
58.969135,131,2.052793
42.307918,112,3.135851
232.0332,125,4.121427
1.797548,13,4.206152
4.975987,16,4.685727
54.290257,82,5.297745
111.893455,178,6.566687
195.816476,247,8.666821
328.219709,241,10.451605
64.064153,112,11.252522
226.226349,176,12.624954
37.46009,59,13.043781
0.447302,17,13.160812
9.083189,19,13.289479
206.567976,192,14.643377
246.766855,213,16.243311
69.705629,125,17.134518
415.443728,303,19.302841
25.335716,69,19.93032
361.506832,275,21.947767
692.563788,575,26.446679
562.419299,402,29.625295
372.421454,233,31.560728
346.64183,208,33.158072
399.523874,240,35.022874
495.970412,328,37.776591
446.670316,280,40.091502
31.550245,57,40.545783
466.939057,261,42.61421
100.247276,148,44.111055
43.396428,89,44.868134
50.728896,101,45.702351
70.558129,130,46.761139
351.020126,215,48.661216
497.817637,391,51.779092
356.410133,230,53.744709
426.640076,248,55.714382
387.578487,238,57.78464
824.559168,664,63.457743
564.092448,408,66.989546
1068.913329,1000,75.652722
634.299868,460,80.217893
570.280989,398,84.095054
558.0702,411,87.72462
788.842822,599,93.205422
443.231528,272,95.581193
550.80238,361,98.916024
416.385921,276,101.479163
493.530038,329,104.31924
528.460417,336,107.455227
577.405482,404,111.238443
558.808432,385,114.960075
495.145909,321,117.862019
438.519035,275,120.522266
477.476201,301,123.309352
372.897127,206,125.390488
378.808109,214,127.422691
443.019404,269,130.037888
422.134476,259,132.467522
406.104531,234,134.841611
453.087586,280,137.485124
502.668998,316,140.648973
406.164295,235,142.820377
467.840771,270,145.56151
442.088187,262,148.107604
377.651826,207,150.28716
421.745781,255,152.735467
403.799875,234,155.172264
355.849673,187,157.007919
426.865607,241,159.478979
414.746997,237,161.791421
457.222859,288,164.761233
443.050436,240,167.122436
389.009169,205,169.281396
454.274943,270,171.993434
406.354507,229,174.551922
401.688899,228,176.882603
418.366352,235,179.202164
425.406424,242,181.80397
400.356343,227,184.206131
407.028603,221,186.618362
462.850065,268,189.45192
457.709829,233,191.993887
538.254288,280,194.876169
447.967751,228,197.440363
444.096371,220,199.755105
473.396458,227,202.314973
480.077022,253,204.968855
474.535241,240,208.254862
515.170298,248,211.593138
517.317612,264,215.320283
665.487242,306,218.688719
587.190263,255,221.577207
651.221747,318,225.07164
506.139257,252,227.804513
452.100456,213,230.028583
484.120516,226,232.7146
653.020089,321,236.347624
524.481611,259,239.090226
654.102154,305,242.546234
503.408988,251,245.323666
579.846236,265,248.43604
561.652557,246,251.166755
501.372354,247,253.987564
551.610049,269,256.984303
572.982875,239,259.767484
549.932664,247,262.515369
524.271508,266,265.605348
524.027352,237,268.334452
497.947734,233,271.131707
496.827153,228,273.693995
510.775437,249,276.731202
512.887958,224,279.326236
492.423703,217,281.966678
578.291885,304,285.545765
574.479864,275,288.876417
509.964031,235,291.673837
516.742107,230,294.62753
539.204958,253,297.54606
496.192965,232,300.438501
470.374783,224,303.110614
581.622329,247,306.176954
553.094665,283,309.612916
516.345666,231,312.481251
519.998425,253,315.523982
461.197137,220,318.251024
521.233519,221,320.977025
520.960101,240,323.788279
514.616124,230,326.738759
512.658686,225,329.42226
578.366784,265,332.688946
525.987274,220,335.316409
531.273823,244,338.452089
516.258375,249,341.37854
570.084036,255,344.6806
601.235073,272,347.981077
565.668993,250,351.169571
528.554634,251,354.175972
650.861982,316,358.238425
538.682328,252,361.306522
641.913449,300,365.131618
538.888959,254,368.523853
525.159295,257,371.710624
496.87042,216,374.580571
534.859877,230,378.188052
601.856234,282,381.992845
