#{"env_id": "Walker2d-v1", "t_start": 1522284516.23295}
r,l,t
-0.084066,20,0.782161
6.794724,22,0.942433
-0.255547,15,1.046513
0.336243,12,1.126441
-2.690587,42,1.391468
316.707046,253,3.546205
313.214322,201,5.779865
-2.437452,10,5.850406
83.439031,137,6.865436
9.974191,25,7.042314
28.785724,40,7.347182
233.444506,149,8.431049
51.080611,54,8.807975
105.477449,173,10.274175
82.803862,90,10.927528
192.327898,145,12.016927
321.039059,226,13.961068
145.571001,190,15.373863
303.835438,254,17.308967
26.044215,88,17.960631
115.579924,170,19.200578
187.791759,189,20.565406
155.279755,221,22.938865
69.848708,122,24.480948
232.430499,269,28.048613
77.932442,122,28.997531
11.80865,32,29.507057
69.367302,105,30.462933
67.28668,119,31.465624
1067.590548,1000,39.6457
1030.692868,910,47.541221
43.635524,53,47.941303
621.257089,472,51.80759
747.439023,612,57.012938
1093.737342,1000,65.347328
757.756743,613,70.480517
115.389051,159,71.787384
1099.710293,1000,80.911468
61.878585,115,81.864616
696.071966,507,86.197087
642.26406,470,90.253722
560.274193,385,93.9785
548.092503,422,97.705431
543.574593,382,101.137412
571.11118,395,104.625231
132.53115,167,106.220055
474.547079,320,109.08495
644.827301,468,113.379476
634.562696,477,117.848581
564.997966,395,121.671471
118.293341,167,123.269434
602.709311,428,127.443393
566.282163,390,131.275245
640.181536,462,135.795403
594.362401,422,139.966586
571.926379,395,143.921187
523.047719,352,147.611844
584.553075,411,151.652331
185.059796,217,153.937594
572.082541,401,157.870603
592.238325,417,162.112867
135.675926,168,163.998161
114.325495,144,165.467203
685.575676,509,170.714787
588.962776,416,175.021858
633.352316,464,179.884122
656.345166,481,184.885596
124.9637,161,186.546587
132.933397,172,188.264981
147.256563,190,190.349649
163.712514,203,192.426847
211.555418,248,195.079471
703.611764,528,200.661286
109.553734,141,202.140931
138.790116,173,203.985359
235.675093,275,207.012822
739.760705,566,213.170907
195.175778,231,215.565392
669.184466,496,220.903036
644.796414,471,226.053319
103.957588,137,227.609337
98.262975,133,229.056331
138.317918,176,230.928442
124.839763,160,232.739565
919.026667,744,241.017568
94.960711,127,242.391462
193.74603,230,245.065025
114.262066,150,246.687976
125.158522,161,248.492609
855.994909,683,256.379619
98.583999,133,257.913684
981.146951,811,267.291093
829.523807,657,275.208538
123.677577,158,277.080552
355.479775,396,281.930237
1003.580705,831,291.734108
760.528877,588,298.608592
786.277534,614,305.68457
115.665109,150,307.370882
132.418952,166,309.412856
94.925573,131,310.969322
119.641688,155,312.79104
125.406166,159,314.838448
786.66449,615,322.047235
143.948645,180,324.12776
759.08236,587,331.082571
888.378948,715,339.724563
857.287166,685,348.390159
145.178743,181,350.690805
818.553635,646,358.667734
142.848924,178,360.848011
131.05472,166,362.990523
835.368309,663,371.259007
876.112821,704,380.263291
148.798394,185,382.702407
800.429547,628,390.619714
879.12044,706,399.61895
146.348927,185,402.108104
139.086774,173,404.289188
742.261711,570,411.661203
738.859866,565,419.066042
724.807223,551,426.177269
764.725973,591,434.083328
847.913671,674,442.956412
776.030442,603,450.871436
906.034608,733,460.832253
780.092677,608,468.877656
131.983887,164,470.992843
899.518687,726,480.714456
144.847819,179,483.081178
133.633345,168,485.263001
222.204263,257,488.815807
837.715571,665,497.658977
809.313625,637,506.235683
835.731672,662,515.299292
734.671072,563,522.95313
751.444514,579,530.960489
793.987828,622,539.450093
812.561112,640,548.569349
192.654243,226,551.651559
841.278205,668,561.026573
756.486132,585,569.481244
138.653146,171,572.071335
794.796714,622,580.917562
769.192639,595,589.516942
768.351789,596,598.160591
766.646554,593,606.952267
178.671664,211,609.931595
142.529945,175,612.445919
827.233329,654,622.116057
794.741876,621,631.440739
829.35321,657,641.470148
126.651873,158,644.016205
823.689806,652,653.783821
879.882665,707,664.386335
213.209232,246,668.189737
722.259085,549,676.744372
118.696698,151,679.010094
756.68875,583,687.885655
781.086757,609,697.375517
803.99564,632,707.160262
750.499703,578,716.10357
757.442443,585,725.157382
145.02928,177,728.027772
767.690293,594,737.266873
702.969956,531,746.285088
708.191116,535,754.759773
155.515491,187,757.633902
831.575044,660,768.24258
845.935445,672,778.91808
733.562309,561,787.964927
817.35756,644,798.399512
786.668114,615,808.599207
774.359831,602,818.453262
178.29924,211,821.870477
540.743807,496,830.084434
177.819691,210,833.609619
802.093303,630,844.081829
869.314929,697,855.729495
829.575277,656,867.082193
786.958101,615,877.345733
779.30363,606,887.607981
760.609667,588,897.579852
770.375722,597,907.791789
109.991604,142,910.300507
123.964524,155,912.851412
191.019894,224,916.654018
130.337742,161,919.496914
715.917875,543,929.096163
427.666469,384,935.879244
776.204581,603,946.607391
857.703818,686,958.790948
441.445393,397,966.082036
430.001876,385,973.36455
250.94572,283,978.596985
110.94408,142,981.222554
149.738805,181,984.327379
836.534072,664,996.055246
792.171831,620,1007.099245
807.887269,635,1018.490271
113.224882,144,1021.02263
914.861882,743,1034.366848
852.556116,681,1046.646536
862.516775,690,1059.161678
801.536367,629,1070.789789
794.065087,621,1082.209073
207.566902,240,1086.511417
107.07387,138,1089.145071
873.425008,701,1102.15782
139.647877,171,1105.303348
545.64599,496,1114.692504
433.636614,390,1122.094299
507.572518,463,1130.909904
153.970627,186,1134.468552
503.877711,460,1143.153451
523.665372,479,1152.126608
261.187493,294,1157.718774
134.288477,164,1160.819004
119.44764,150,1163.598257
430.289117,387,1170.973192
476.652317,433,1179.29103
139.918487,172,1182.452101
127.55895,158,1185.675325
485.23708,442,1194.10572
458.776887,414,1201.936035
500.186848,456,1210.740483
821.268743,648,1223.43416
118.699628,149,1226.30026
637.242123,458,1235.257903
594.988506,418,1243.743086
101.232834,131,1246.272396
614.707,437,1254.873474
482.121174,440,1263.512628
118.773047,150,1266.435671
119.737122,150,1269.618961
103.850067,135,1272.671759
152.520779,184,1276.690942
490.12777,447,1286.088499
153.70437,186,1289.949941
571.31824,528,1301.080704
559.867094,389,1309.669016
112.449684,143,1312.621478
126.154464,157,1316.029246
455.82218,411,1325.092004
175.701327,208,1329.857564
170.695468,202,1334.216866
600.988639,425,1343.089505
158.379062,191,1347.282702
108.850653,140,1350.150246
474.57056,431,1359.235534
141.77184,173,1362.87534
503.227612,460,1372.608883
599.693849,425,1381.571919
113.280514,144,1384.608154
484.131158,439,1395.292961
512.563498,469,1405.081461
507.863048,465,1414.770503
634.344913,459,1424.309913
484.835437,441,1433.491291
574.335401,530,1444.571074
133.006407,164,1447.981751
492.749509,449,1457.566097
599.410549,425,1466.520233
499.855835,456,1476.331525
123.473279,154,1479.557558
118.362699,150,1482.702745
737.168236,559,1494.655917
506.855662,463,1504.42438
552.040329,374,1512.314657
272.378359,306,1518.866388
642.077415,466,1528.749591
244.638446,278,1534.529792
103.403267,134,1537.355423
646.623306,471,1547.748175
617.765528,440,1558.939213
641.693596,466,1569.009587
119.541665,150,1572.185736
470.134103,426,1581.696829
565.251426,389,1590.145155
564.334332,387,1598.609223
525.998698,483,1609.298234
715.675992,541,1621.129275
546.944405,376,1629.383084
573.441541,398,1638.186925
504.706493,461,1648.63606
148.010086,180,1652.77777
581.599455,407,1661.952051
225.489392,258,1667.601654
594.99353,420,1677.069943
178.932529,211,1681.747282
607.966119,434,1691.601667
116.205863,148,1695.086778
750.316023,579,1708.100558
166.227541,198,1712.420721
210.186442,242,1718.046857
160.704712,192,1722.378571
682.789667,506,1734.003443
582.677274,408,1743.290143
436.514488,394,1752.336074
618.721508,441,1762.163887
135.135515,167,1766.17182
608.266658,433,1776.170819
615.113721,436,1786.135622
617.707606,444,1796.266659
119.265394,150,1799.85453
304.420446,339,1807.572876
567.95461,401,1816.999204
636.050437,457,1827.60858
655.773789,478,1838.771536
560.035579,385,1848.295262
167.565165,199,1852.931865
581.932896,407,1862.549473
130.492884,162,1866.283634
189.356128,221,1871.696203
659.445627,483,1883.148915
565.343032,390,1892.427702
159.543813,190,1897.034521
231.922976,265,1903.185745
643.918716,468,1914.361912
249.84093,283,1921.296435
633.446642,459,1932.407994
178.435311,211,1937.366327
180.964422,213,1942.656119
586.241129,411,1952.728305
1008.289447,838,1972.771111
612.682342,440,1983.39328
219.599916,252,1989.510685
586.073288,412,1999.381694
588.488755,413,2009.444233
576.009747,400,2019.205986
639.87771,466,2030.56974
611.439099,434,2041.196438
579.94146,404,2051.214016
166.509188,198,2056.144047
646.100132,469,2067.618604
583.888399,405,2077.701533
123.89108,154,2081.459748
724.825499,552,2095.357803
565.362463,388,2105.033193
580.099256,405,2115.240338
559.949034,387,2124.995553
610.953596,436,2135.828354
641.666964,461,2147.733549
119.328228,150,2151.705351
553.230172,378,2161.314544
574.929946,402,2171.662851
575.752531,398,2182.139411
148.403546,180,2186.692506
564.682528,393,2196.89132
569.289598,388,2207.000375
583.11182,410,2217.511516
725.251186,551,2233.8693
557.835839,382,2244.925324
598.432566,421,2256.808988
147.591374,179,2261.777772
