#{"env_id": "Walker2d-v1", "t_start": 1522284516.154027}
r,l,t
-2.162466,24,0.889008
-3.701081,24,1.064434
-0.287977,9,1.123233
4.342325,15,1.22413
-3.999574,29,1.408836
22.333231,43,1.686707
202.351294,125,2.853106
238.649512,258,5.557525
21.242266,38,5.8549
309.488021,235,7.603037
36.766391,51,7.973091
4.059681,15,8.080743
-3.350622,15,8.185247
257.00408,166,9.488095
277.222127,210,11.109258
185.284833,129,12.08099
187.242611,139,13.334876
184.440305,144,14.446455
90.632627,141,15.49462
12.23933,25,15.672257
84.499197,107,16.459151
159.932018,150,17.639083
151.983063,206,19.141266
751.996661,707,27.05338
53.608548,107,28.090589
414.768301,299,30.842383
90.428475,128,31.997633
239.623661,218,33.728533
484.598107,383,36.95452
509.773464,462,40.669525
437.519034,291,43.131926
1090.678882,1000,51.559701
493.573212,347,54.592586
657.181763,491,58.589636
465.104897,332,61.321734
766.689065,585,66.276429
591.524883,454,70.130535
1084.526032,898,78.171165
933.624785,745,84.68835
500.276974,344,87.663881
719.429189,547,92.726796
529.08235,361,95.830311
660.226374,487,100.131076
527.705739,377,103.556128
483.722771,332,106.612711
599.583707,417,110.44141
550.678401,372,113.797427
643.539385,469,118.247803
552.519653,388,121.944698
95.565568,142,123.327671
600.637223,426,127.474043
571.674206,395,131.35093
580.558062,404,135.332678
600.75105,423,139.491614
577.103459,405,143.543332
590.896154,418,147.87074
562.184709,386,151.677641
534.274604,357,155.302523
539.066253,365,159.027706
570.176755,397,163.031381
639.259062,467,167.876288
659.60391,485,172.870265
206.709484,243,175.448075
627.372576,453,180.212085
107.044608,141,181.647273
104.187648,142,183.09992
91.954824,127,184.490496
141.284326,175,186.283144
771.03891,594,192.464285
674.613757,499,197.736549
120.39368,161,199.392809
111.444647,146,201.050501
105.948635,147,202.575889
823.923826,648,209.494274
101.619007,141,211.083958
157.752444,195,213.28624
174.943418,213,215.482461
716.164163,543,221.320686
170.298238,204,223.63539
731.613803,557,229.675825
222.793101,261,232.448172
113.867533,152,234.236409
116.919913,153,235.839227
142.978201,178,237.76992
89.11699,123,239.27536
818.285031,646,246.537954
129.36201,166,248.388098
93.3761,126,249.941454
111.335345,148,251.615512
111.202159,145,253.211027
122.401802,157,254.976751
726.758415,555,261.451231
123.847475,160,263.223697
99.417817,136,264.736081
144.852761,180,266.931711
117.926211,155,268.728467
124.565896,163,270.556373
101.498094,137,272.232062
101.408411,136,274.054556
98.20324,133,275.638153
1004.550845,833,285.764562
776.406538,603,292.749119
123.025652,160,294.550325
922.580614,750,303.342025
828.139241,657,311.041663
115.185357,151,312.813872
138.501479,173,314.995168
154.790854,191,317.22037
860.767552,688,325.251494
871.657088,699,333.675033
857.101457,684,342.157002
119.151092,153,344.014894
758.042404,585,351.299157
145.362795,180,353.474542
98.50565,133,355.125547
129.009776,163,357.251097
111.78682,147,359.03492
137.303152,172,361.117037
124.282976,160,363.196165
797.95541,625,370.997828
112.490392,147,372.821049
106.720462,142,374.576429
139.669602,175,376.949516
116.503462,151,378.86199
115.690869,151,380.769703
189.120495,224,383.690881
755.0876,581,391.083798
251.930172,291,394.897954
133.608728,168,396.95445
774.21242,601,404.663226
930.500047,757,414.556613
796.122006,624,422.706806
186.700553,220,425.45652
920.020488,747,435.337552
747.4047,574,442.919624
783.579962,611,450.960045
147.514498,183,453.595207
852.606649,680,462.636586
917.869006,745,472.434978
145.639505,179,474.909655
932.206662,761,485.000897
759.842532,587,492.83016
816.922539,643,501.598168
824.51662,652,510.333662
838.904667,666,519.298283
889.544316,718,529.370737
812.839451,639,538.12973
145.530193,179,540.561246
869.28019,698,550.379778
197.647939,231,553.528212
834.467777,662,563.09506
213.821077,248,566.606693
