#{"t_start": 1522281073.831613, "env_id": "Walker2d-v1"}
r,l,t
561.596067,272,846.647885
484.522604,214,850.286329
530.65982,264,854.901736
516.629505,254,859.454827
524.178668,252,863.854115
506.778523,247,868.135726
540.402817,263,872.681816
512.865996,242,876.86163
555.196856,270,881.60145
513.592497,247,885.887846
514.942729,258,891.145167
515.588662,258,896.014937
524.661837,258,900.621759
503.823206,251,905.131521
536.48466,268,909.72636
534.492696,264,914.613184
492.519113,236,918.689925
514.505471,245,923.245101
536.382735,252,927.570373
552.300096,274,932.689214
506.417381,245,936.9566
526.00445,252,941.553141
523.781874,254,946.027949
536.659287,262,950.98963
488.559804,225,955.065599
511.067089,244,959.592189
510.714732,244,964.140755
484.551974,225,968.428174
488.787969,229,972.571568
492.60685,240,976.923022
476.762132,224,981.304737
498.223916,244,985.803571
526.677397,258,990.675148
504.909958,248,995.376187
524.777842,262,1000.324939
542.107123,257,1005.023932
479.456951,221,1009.361264
577.885255,286,1014.823736
500.536966,248,1019.621584
478.148134,219,1023.693048
519.021527,259,1028.704619
560.83979,275,1033.782803
497.005809,241,1038.450771
529.814107,259,1043.377414
507.346881,247,1048.244091
468.063364,233,1052.616538
519.834876,258,1057.749078
537.766812,264,1062.771821
541.40921,272,1068.040602
506.943235,247,1072.751372
526.57865,250,1077.673069
532.017445,270,1084.562501
509.156721,244,1091.040595
460.204946,209,1095.501643
