#{"env_id": "Walker2d-v1", "t_start": 1522284516.29889}
r,l,t
-3.692544,8,0.61133
0.224205,11,0.709156
-3.690827,10,0.779756
-3.267264,24,0.954107
0.996662,38,1.203028
5.984291,34,1.423697
16.40318,76,1.919253
89.288236,162,3.47029
204.283717,127,4.798514
-0.690875,13,4.887687
288.646156,212,6.818974
301.537144,249,8.628772
265.764554,219,10.423005
212.371972,172,11.705288
237.681429,193,13.371754
175.016586,145,14.484343
177.58881,123,15.401958
74.552898,124,16.297759
183.051845,137,17.386427
164.944449,202,18.86463
619.908011,537,24.016418
468.533596,326,28.168263
80.587175,123,29.340542
71.217857,117,30.44359
75.134144,110,31.383027
156.626588,208,33.142634
561.795595,447,36.866779
96.743202,140,37.967553
413.809977,260,40.092624
146.407167,192,41.76796
77.343369,118,42.705244
448.110232,292,45.442161
734.206722,591,50.149361
1105.458834,911,57.798653
444.602098,287,60.087012
644.686946,469,64.0419
624.320448,519,68.420744
551.502297,382,71.674594
52.186254,95,72.462549
839.899275,685,78.944967
991.335352,824,85.932438
537.430508,391,89.314902
583.400174,412,93.253315
589.469967,422,96.991609
526.938708,367,100.156965
573.174822,397,103.800786
495.060513,341,106.901329
566.701218,405,110.635928
604.167804,431,114.636399
597.312592,418,118.54172
609.122747,436,122.72384
610.425073,438,126.976658
567.958088,397,130.883956
595.039859,421,135.015542
576.437768,398,138.954447
118.463512,160,140.483849
592.711451,423,144.908276
592.903157,413,149.111058
565.51175,390,152.877683
580.17343,403,156.899899
565.295813,391,160.92257
651.374041,476,165.903666
656.791434,485,170.929643
583.828537,408,175.129176
69.44748,96,176.09995
142.908144,175,177.880505
121.842484,149,179.577247
95.748304,125,180.824117
142.443436,179,182.663306
106.523907,140,184.071987
219.749276,257,186.824564
147.208701,189,188.714724
94.670558,132,190.222704
245.136843,282,193.084388
763.76442,589,199.294093
152.0724,186,201.357833
104.124484,140,202.805897
121.71263,156,204.468566
111.037732,156,206.25945
756.007616,580,212.573871
802.282477,629,219.254287
642.561753,467,224.312883
701.896998,529,230.099299
688.445994,515,235.730492
169.999969,207,238.074968
156.217052,196,240.288347
204.724675,241,242.936306
108.967363,144,244.682115
106.195118,142,246.22864
128.114664,166,248.076469
115.900442,149,249.891325
102.096429,136,251.402159
108.835138,144,253.013497
750.166514,577,259.586262
170.567446,208,262.066054
115.285625,152,263.760706
107.80852,146,265.358855
800.034252,627,273.06303
182.502719,220,275.656215
163.298867,199,278.001425
202.934105,239,281.015763
195.555923,231,283.677415
167.265706,204,286.210371
162.439651,198,288.496669
684.512307,512,294.40748
759.567481,587,301.221872
144.8031,181,303.411429
162.335346,198,305.680722
878.102639,707,314.191916
99.464072,134,315.738867
150.66656,185,317.870236
121.102628,155,319.641795
811.304237,639,327.301921
347.268918,385,331.894862
169.448603,205,334.301537
697.115214,525,340.596898
171.05857,207,343.422023
770.577773,599,350.896716
110.247924,144,352.625623
157.266141,193,354.982502
809.016285,637,362.987799
121.218215,154,364.873476
166.613088,201,367.372753
722.082352,549,374.24567
120.069926,155,376.383865
125.973269,160,378.410511
889.830807,717,387.523537
866.483592,694,396.443919
860.7614,687,405.234903
948.763042,776,415.426343
128.640866,162,417.486525
779.687807,608,425.317907
769.164481,597,433.13981
817.939254,645,441.783923
822.353592,649,450.305986
180.120574,215,453.333601
221.424384,257,456.803514
135.033056,169,458.963448
893.234247,721,468.610362
125.960584,159,470.624005
900.0239,727,480.376479
880.137138,708,489.799466
828.006272,654,498.551912
786.592366,614,506.817755
849.396001,676,516.032792
828.948156,657,525.105646
770.848927,598,533.25692
98.551348,130,535.158794
814.595299,641,544.053436
207.972207,241,547.352057
788.088497,616,556.030783
768.067152,596,564.602962
122.865012,156,566.801474
783.621094,610,575.572507
103.079326,134,577.620415
200.233489,233,580.844766
733.68775,560,588.959266
799.179069,625,598.012311
802.880264,629,607.25385
783.248012,611,616.189958
774.976127,602,624.946227
840.267085,668,635.071936
801.196067,629,644.906341
765.366628,592,653.77624
935.345548,763,665.135438
120.975561,153,667.6184
99.573936,129,669.534255
208.587295,242,673.140016
808.660825,636,683.163079
779.466079,606,692.487955
459.034237,414,698.804881
988.738496,819,711.451522
855.801314,684,722.208174
548.998421,504,730.008976
169.131803,201,733.057746
447.563867,401,740.056314
740.61203,567,749.001358
99.27588,130,750.99537
809.840248,637,761.187336
148.267432,180,764.009752
753.159433,580,773.212327
814.813966,643,783.578156
497.366654,452,790.842109
860.95885,689,802.260438
832.458989,660,813.010724
417.01587,371,819.146057
182.408185,214,822.596758
156.550685,188,825.827836
422.338209,377,831.937487
774.515333,602,842.057335
819.832869,647,852.876124
532.40252,487,861.267938
519.92095,475,869.258084
132.909418,165,871.984917
795.948143,622,882.342416
144.071039,174,885.389859
476.109866,431,892.760465
466.706052,422,899.836504
772.857159,601,910.302357
808.211934,635,921.075354
777.792076,605,931.760311
138.409078,170,934.7284
749.604897,576,945.162634
835.336147,663,956.947246
477.905781,434,964.847373
790.998242,617,976.400806
114.089076,145,978.970866
144.125865,175,982.196018
133.208325,164,985.047023
845.220978,672,996.886949
109.393419,139,999.475287
834.07573,661,1011.170016
123.656081,154,1013.852273
113.948309,144,1016.546031
496.030028,450,1024.414335
912.134164,740,1037.839185
516.259456,471,1046.322681
816.746735,645,1058.04507
819.126617,647,1069.825713
565.257961,391,1077.111484
483.233956,439,1085.122284
147.676157,179,1088.393491
125.170243,156,1091.339451
225.394375,258,1096.077506
765.490896,592,1107.105691
114.56234,145,1109.938597
111.977069,142,1112.564338
758.722024,585,1123.664987
439.185319,395,1131.264403
175.740236,207,1135.160134
459.623546,415,1143.016673
212.621206,245,1147.680852
129.289315,161,1150.686318
149.190335,181,1154.097479
443.34973,400,1161.678311
156.622642,188,1165.31303
830.214028,658,1177.816522
180.74641,212,1181.752848
174.792192,207,1185.882042
189.731892,222,1189.990822
448.743383,404,1197.805736
448.661758,404,1205.601684
427.896614,384,1213.067205
834.627685,661,1225.84216
170.404436,202,1229.664927
452.112994,407,1237.678917
464.014549,420,1246.212107
592.724754,550,1256.970089
134.886038,166,1260.218656
131.010174,161,1263.452751
608.747257,436,1272.623481
486.107621,442,1281.964497
133.027958,165,1285.485548
138.854416,171,1289.167484
469.900038,426,1298.106522
253.73304,287,1304.626647
459.955407,415,1313.15717
163.321221,195,1317.430125
463.420589,419,1326.865064
125.68749,157,1330.460442
250.352851,283,1336.446197
108.307817,139,1339.313605
865.297095,692,1353.777301
497.391158,453,1363.404099
503.901963,460,1373.183078
119.452927,150,1376.237375
623.206533,446,1385.791939
462.008049,417,1395.969534
590.594844,413,1404.625743
496.687947,452,1414.02862
115.742931,146,1417.030035
610.862059,432,1425.962634
472.280381,428,1434.96804
672.205235,501,1445.430397
152.090623,184,1449.251003
733.538243,561,1461.11186
100.34487,131,1463.969338
154.097083,185,1467.866716
117.985383,149,1471.052633
602.946995,429,1480.215638
529.394219,486,1490.720796
462.630911,418,1499.454585
833.063121,656,1513.290193
575.32481,395,1521.632408
484.523398,440,1531.004352
619.668703,439,1540.307287
529.477295,487,1552.290825
474.673177,432,1562.229809
174.488267,206,1566.523619
493.591102,450,1576.482328
484.831295,441,1586.101737
126.723612,158,1589.449332
136.475554,168,1593.13135
109.153486,140,1596.348946
592.977237,419,1605.625654
527.296213,484,1615.989129
492.819125,450,1625.81321
150.204324,181,1629.960516
551.843254,381,1638.496719
481.848923,439,1648.333705
210.026585,243,1653.821031
601.781355,427,1663.409318
464.398433,420,1672.946942
708.707872,537,1684.933881
632.227288,452,1695.147463
599.823517,426,1704.613373
171.828476,204,1709.267448
575.267429,400,1718.320414
633.858067,454,1728.853212
233.732237,267,1734.895351
651.521818,470,1745.589263
132.963838,165,1749.27693
