#{"env_id": "Walker2d-v1", "t_start": 1522284515.800914}
r,l,t
-5.971197,21,1.222672
-4.381484,9,1.281502
0.016639,12,1.370861
-4.64891,13,1.460482
-2.081995,14,1.554914
-8.79644,11,1.624503
0.105053,46,1.930024
228.516201,136,3.134031
90.706302,150,4.649446
283.083986,186,6.436919
81.506011,117,7.313671
283.062791,209,8.843478
230.202985,173,10.257129
54.692364,111,11.096644
9.508649,38,11.381482
100.754904,170,12.663061
69.84827,108,13.680112
185.370789,149,14.829655
194.531762,251,16.680901
212.47527,206,18.269018
296.39004,236,19.993302
5.859471,16,20.106131
89.071979,152,21.324826
210.152753,277,24.440647
407.657535,318,28.561324
1075.863275,1000,37.221474
63.376856,103,38.022663
57.277389,107,38.865226
641.205562,521,43.226629
50.584764,82,43.867241
34.478329,40,44.177866
744.991678,583,49.28966
345.367611,250,51.242207
531.442754,377,54.563194
81.37908,115,55.477517
113.277885,158,56.726424
77.860059,111,57.707012
476.933489,343,60.4299
806.150046,643,65.940095
683.976275,544,70.517086
493.466399,335,73.280494
904.681214,741,80.239883
813.125947,648,85.743169
722.329855,560,90.542584
563.726318,382,94.247131
550.6161,389,97.692938
457.865492,306,100.345767
565.320299,385,103.827964
524.943791,399,107.477467
673.81469,494,111.997162
621.522577,457,116.266589
531.12467,380,119.963196
623.14427,440,124.179494
542.750985,372,127.697507
501.504271,338,131.060066
536.412563,373,134.731354
478.928802,311,137.662348
600.168068,429,141.919065
169.029351,213,144.125968
557.95209,380,148.087522
571.359288,397,151.993773
514.919681,339,155.450357
576.904332,395,159.470265
242.237641,279,162.242222
636.138452,464,167.103514
621.231788,446,171.732191
664.583627,492,176.769992
75.571896,109,177.89612
110.83826,138,179.373604
94.225049,124,180.743296
680.910676,508,186.029784
172.417579,209,188.136888
90.960112,128,189.4343
93.422995,129,190.885635
108.385577,143,192.353365
615.06665,439,197.009505
685.66024,510,202.406213
179.570829,217,204.684738
89.305381,122,206.099
675.501554,502,211.449112
189.828496,225,213.959098
127.550958,167,215.687207
716.106202,542,221.517649
652.486346,479,226.749417
141.359891,178,228.769964
103.742397,137,230.22343
292.181949,332,233.909322
143.984261,180,235.805089
152.760166,189,237.835657
722.653027,549,244.184825
147.556419,184,246.203944
148.877419,182,248.239917
128.22225,164,250.22377
