#{"env_id": "Walker2d-v1", "t_start": 1522284516.155309}
r,l,t
520.397111,476,1374.467792
487.964519,443,1383.9154
138.457581,169,1387.460429
98.307494,128,1390.260424
520.617246,477,1401.751296
465.72431,422,1410.282189
748.631824,572,1422.316954
660.889332,480,1432.352348
484.029808,440,1441.349665
126.913533,158,1444.795865
565.943949,523,1455.851708
113.200119,144,1458.870175
604.13647,427,1467.910899
514.238333,470,1478.006689
489.477962,446,1487.654502
154.088826,186,1491.488771
178.51062,210,1496.062095
478.239958,434,1505.013758
507.704194,464,1514.789054
484.675304,441,1524.102764
619.067071,576,1536.303438
186.600116,220,1541.213156
729.660161,557,1554.596495
484.595304,440,1564.63926
493.952824,449,1574.324072
616.442978,439,1584.097806
125.041994,155,1587.290868
475.596058,432,1596.910349
565.604355,390,1605.511338
571.805433,394,1614.03202
147.717325,180,1618.109892
174.904681,206,1622.507191
190.020423,222,1627.379812
140.986176,172,1631.195078
746.739635,573,1644.098558
542.621758,369,1652.380927
188.064236,221,1657.240218
646.610221,470,1667.781597
125.515079,156,1671.240764
131.104995,162,1675.04925
665.512035,494,1686.161717
124.25668,155,1689.592329
623.968181,450,1699.773499
185.70246,217,1704.551577
222.840218,256,1710.400715
935.241536,762,1727.770203
623.49058,446,1737.958174
631.314185,454,1748.30338
684.673389,507,1759.793932
150.084621,182,1764.103814
613.297619,432,1773.865056
625.800819,448,1784.106841
723.070802,546,1796.774928
104.387102,135,1800.036334
192.108778,224,1805.05611
649.661439,471,1816.154199
597.724729,418,1825.835786
131.561349,163,1829.650317
101.821249,132,1832.847389
573.612127,395,1842.278287
192.587294,224,1847.717492
160.471263,192,1852.099654
110.878909,142,1855.410766
111.017477,142,1858.870985
705.394624,533,1871.515864
727.857408,552,1884.600997
653.205267,475,1896.061719
118.726752,149,1899.559325
635.563949,457,1910.393938
211.940378,244,1916.293517
574.938397,397,1925.890976
584.145948,408,1935.683335
571.178545,395,1945.21607
673.298077,492,1957.258892
579.038451,402,1966.972698
605.200416,429,1977.313601
681.339276,502,1989.358499
614.99523,434,1999.747116
608.298833,430,2010.205425
215.301336,248,2016.403277
552.928793,374,2025.490642
601.758056,426,2035.782631
138.069255,169,2039.934112
141.526699,173,2044.118152
563.825443,387,2053.796006
149.044305,180,2058.191331
121.220261,152,2062.142522
602.532665,425,2072.420382
607.224021,430,2083.091056
115.085794,145,2087.023591
619.89312,439,2097.758228
591.252896,417,2108.170556
575.185155,398,2118.264706
552.295916,376,2127.638692
635.125453,459,2139.317981
612.30573,434,2150.524825
581.614214,404,2160.801165
551.727293,377,2170.604068
608.007041,429,2181.702348
120.112145,150,2185.521044
171.455653,203,2190.939641
619.677634,439,2202.336902
124.825552,156,2206.355317
127.417969,158,2210.351157
635.802244,455,2222.289591
622.009414,444,2235.865506
576.782673,398,2247.482335
114.289357,144,2251.550814
592.295088,417,2263.066275
