#{"t_start": 1522281073.930368, "env_id": "Walker2d-v1"}
r,l,t
-10.390404,22,0.481697
-1.105919,26,0.660915
-4.666135,20,0.795134
6.258627,19,0.97199
4.267773,39,1.258147
9.521922,88,1.900757
128.530921,237,3.951992
3.828724,23,4.144691
-3.94039,21,4.287106
3.826637,21,4.753635
209.757994,143,5.844273
108.815271,175,7.086657
7.229462,22,7.306895
-0.013113,19,7.509059
148.809306,129,8.469059
80.012507,109,9.470268
297.355452,199,10.90747
62.367468,113,11.707051
100.149406,165,13.0021
40.287414,97,13.692499
70.931037,134,14.63555
209.123303,177,15.874818
274.395656,305,18.128903
581.641598,481,21.770797
693.692897,555,26.125915
517.036465,381,29.094898
79.190931,126,30.12155
471.203037,352,32.939809
358.317019,226,34.677812
457.700312,283,37.087553
353.531006,199,38.64044
80.379285,119,39.68859
68.639705,113,40.580077
457.55527,292,42.90574
439.025899,282,45.541235
409.318351,249,47.538836
305.679801,176,49.146238
603.026616,427,52.656521
67.852206,105,53.505188
373.535973,236,55.375712
399.535686,281,57.777269
485.151312,279,60.021789
548.166209,379,63.413092
595.760266,418,67.032437
630.182369,464,71.017142
1127.539581,964,79.97114
713.92721,551,85.155942
760.362426,584,90.304507
398.736209,245,92.714337
595.4793,401,96.268879
348.391441,206,98.203103
668.128179,500,102.702662
591.070812,430,106.6254
401.268787,239,108.73913
585.05434,396,112.573882
544.517561,383,116.167369
371.609846,209,118.067462
445.115332,283,120.800751
458.014673,281,123.411626
467.689854,285,126.265985
372.620304,206,128.173438
381.774913,214,130.280668
537.310345,329,133.372366
506.902191,326,136.634733
374.874964,212,138.646128
469.129432,304,141.644104
459.482832,278,144.447281
427.407845,259,146.908709
436.839232,258,149.574457
419.722459,246,151.981293
411.489779,243,154.44251
445.963187,259,157.019317
360.499645,200,159.053985
444.59818,261,161.640438
450.377996,274,164.417896
454.561199,266,167.080857
377.707491,205,169.234939
385.69879,207,171.329074
384.221521,209,173.553546
366.190845,190,175.630197
400.348213,227,177.912015
410.883572,235,180.394093
378.826861,202,182.421444
459.385446,269,185.388915
418.211394,208,187.620639
419.945499,227,189.951071
421.234876,239,192.591289
454.901798,221,194.857634
412.511002,206,197.175087
450.601074,226,199.535469
447.829866,217,202.022892
462.096824,244,204.554259
487.013495,253,207.926382
471.687688,251,211.207438
462.016728,229,214.490898
587.417968,270,217.656763
538.545434,237,220.350378
517.006252,254,223.043442
528.400338,240,225.790372
553.06656,266,228.59446
510.001088,253,231.526968
489.746937,230,234.014822
553.971347,272,237.102764
597.020082,286,240.191647
536.28046,245,243.001272
564.22542,274,245.961774
574.829722,259,249.04523
559.170823,268,251.995223
497.950047,238,254.760933
549.87347,274,257.76582
512.277861,265,260.883616
498.204379,232,263.441502
508.124697,249,266.389562
509.150074,219,268.865033
501.508481,222,271.578426
493.749666,230,274.213016
597.031178,280,277.585185
537.129364,234,280.221347
527.796785,276,283.643499
592.958464,291,287.017553
586.799106,287,290.556361
521.081939,238,293.452663
536.652629,259,296.655418
487.706676,232,299.323477
595.914481,262,302.560468
530.246006,247,305.551537
450.795534,221,308.346106
561.437975,280,311.658969
463.59302,229,314.558317
493.971613,232,317.324335
515.881679,256,320.506373
432.133835,195,322.854102
632.912089,311,326.767571
565.527239,241,329.630848
505.537199,223,332.392406
578.324919,262,335.531885
526.327294,236,338.586507
558.429753,268,341.784374
554.89686,266,345.196552
536.60387,236,348.022094
569.358312,271,351.451152
517.382903,226,354.166184
539.617983,268,357.661101
581.403168,285,361.144841
581.866429,260,364.468217
478.530483,232,367.38697
541.421065,244,370.60464
538.861931,258,373.795372
573.12459,279,378.185485
523.211976,237,381.249112
516.796298,236,384.347537
507.959408,236,387.31623
554.928081,267,390.891552
538.754441,245,393.987372
587.251006,275,397.862611
550.567565,248,401.013574
512.958235,239,404.259103
497.809429,212,407.161333
528.126848,247,410.574021
489.509937,224,413.58096
532.951442,243,416.89315
471.408417,208,419.763403
519.087598,250,423.203691
536.691774,259,426.640898
496.613538,225,429.802848
485.194968,220,432.749545
485.869661,236,435.99376
543.996852,269,439.589172
500.277316,232,442.994404
529.233237,258,446.50365
523.048403,258,450.084393
552.60808,264,453.636368
532.876369,253,457.325737
