#{"t_start": 1522281073.725984, "env_id": "Walker2d-v1"}
r,l,t
2.559252,17,0.655917
-4.000274,13,0.732427
2.306525,18,0.863381
0.171759,19,0.992812
9.944496,29,1.261649
28.567828,85,1.862448
63.298286,129,3.098742
31.401587,50,3.432566
43.42402,115,4.354879
-2.934083,18,4.480044
-0.017242,10,4.545092
-2.487285,11,4.933835
83.313997,140,6.007101
234.991417,164,7.179292
46.596475,52,7.677089
243.147347,177,9.173906
21.586514,41,9.490532
268.713094,190,10.869446
9.230426,22,11.020343
263.239795,214,12.665501
198.062905,167,13.856653
32.825022,74,14.368527
115.628334,191,15.713293
178.783626,138,16.781351
543.37526,428,19.969447
379.742,269,21.955974
43.107069,85,22.573359
65.965218,105,23.350831
87.310642,111,24.289775
722.242441,584,28.903752
494.022751,354,31.760622
419.929343,291,34.010134
43.082768,92,34.721278
402.886206,195,36.387572
126.643125,104,37.253387
32.460532,39,37.557126
489.785429,318,40.155102
328.57813,195,41.724988
272.949628,213,43.560842
424.445779,276,45.983067
128.526355,184,47.472383
389.23833,264,49.781841
713.506336,559,54.34911
447.669816,276,56.675358
494.015072,364,59.619072
533.693949,395,63.078706
1092.19485,1000,71.694661
178.827296,226,73.787813
1100.537035,921,82.492618
523.986735,342,85.631116
613.525098,447,89.576422
541.594906,365,93.06559
584.214989,404,96.623584
544.18401,364,99.932109
587.838185,404,103.596129
401.917337,248,105.941523
557.99183,405,109.538367
487.521449,308,112.558244
688.509133,503,117.26501
565.688342,389,120.957108
400.659138,220,122.950212
421.372497,242,125.410286
533.961135,346,128.650197
397.39498,222,130.835019
450.40339,281,133.484846
501.569576,319,136.688727
429.316439,264,139.185688
549.404515,355,142.641253
466.141835,281,145.493278
448.504478,266,148.077483
450.247552,269,150.859016
426.355185,252,153.259272
409.565027,243,155.803389
413.632144,230,158.031909
413.50949,212,160.223457
438.753543,253,162.706985
366.190003,197,164.721531
357.922969,192,166.664587
458.728657,278,169.540221
426.596752,242,171.967114
420.67247,243,174.668791
421.300422,244,177.173449
381.837703,209,179.238339
405.070529,230,181.696713
398.876001,220,184.036241
452.700839,268,186.918925
383.707176,203,189.091321
460.009782,238,191.672363
445.522246,224,194.00176
458.510027,237,196.605772
521.739493,282,199.579701
432.855834,205,201.923626
583.316043,284,204.898582
454.118562,234,208.068583
509.031917,248,211.279036
551.264732,249,214.831903
547.050152,254,217.796148
452.754242,205,220.178792
495.606344,247,222.773155
492.872737,234,225.416262
603.726021,307,228.690946
487.050796,248,231.576386
595.910417,266,234.43031
509.726418,254,237.347176
505.829942,241,239.904683
554.395316,264,242.93822
516.86484,270,245.891109
620.244987,303,249.471451
516.662526,240,252.086953
484.775231,232,254.794734
555.739701,275,257.807584
553.902522,269,260.960212
532.180859,263,263.837027
497.303087,220,266.485444
555.396622,272,269.584021
502.472072,239,272.4394
510.2532,240,275.169522
509.456311,250,278.242087
479.171989,228,280.801104
575.658759,289,284.37418
576.942409,280,287.608861
561.288273,287,291.153178
546.735931,251,294.374392
495.142044,242,297.213421
525.757956,227,299.817438
582.987812,246,302.909931
564.846717,262,306.035083
473.624095,234,309.046162
506.421895,239,311.851545
502.423977,241,314.884031
511.859012,228,317.59149
499.887075,242,320.636532
498.206876,216,323.221985
528.236468,252,326.424933
532.830596,230,329.136339
582.781261,243,332.174099
544.938811,233,334.950177
518.365579,261,338.307223
504.834548,232,341.027431
588.816868,291,344.739034
511.918007,233,347.576177
540.574945,250,350.758898
578.582293,246,353.707457
592.238759,291,357.460772
568.544279,280,360.89595
530.259638,256,364.1957
520.99568,257,367.37419
559.502014,270,370.916898
504.079916,238,373.867667
570.707162,276,378.189141
556.370617,236,381.265546
503.51841,230,384.306831
512.943074,241,387.332216
545.879342,253,390.735309
524.59085,228,393.577917
533.86198,261,397.291475
522.477768,225,400.17065
583.996163,280,403.949954
483.740151,223,406.885777
526.520284,242,410.321712
507.185058,237,413.470583
581.285921,280,417.401436
492.960841,211,420.16591
527.453557,252,423.694809
523.346759,226,426.650379
561.428781,259,430.264704
514.569343,223,433.235865
559.371846,272,437.009551
486.453328,222,439.989752
558.224904,270,443.86674
526.113783,231,446.979665
489.008193,223,450.141435
491.307749,233,453.263168
490.101546,223,456.48785
489.084541,226,459.591741
524.407165,244,462.965537
515.821692,253,466.59888
521.283356,244,469.954034
544.516075,256,473.753626
565.297554,279,477.969302
547.424023,267,481.823046
545.336192,264,486.0885
517.860111,253,489.630864
565.848759,250,493.299083
517.94146,243,496.76826
495.528615,228,500.128409
512.831534,242,503.600837
533.410534,268,507.533656
533.280886,261,511.465856
527.480778,256,515.250478
542.415355,261,518.967338
494.36731,230,522.382314
505.716244,248,525.941445
514.532041,254,529.740025
510.595723,246,533.460308
524.864641,240,537.68855
535.805094,267,541.996713
534.930588,264,546.055423
515.35887,258,550.246899
509.931571,235,554.73043
507.85475,244,558.883094
519.922813,261,563.488155
526.440517,252,567.283591
534.51355,261,571.300244
530.313626,264,575.188096
552.805518,264,579.249976
571.849255,277,583.351835
516.752355,240,587.048239
506.06067,230,590.479381
567.610487,272,594.651727
497.096316,230,598.087922
547.300768,260,602.174805
549.508191,263,606.113758
496.395662,233,609.78458
483.997814,219,613.141276
569.633484,278,617.591273
535.498995,259,621.535623
514.492977,240,625.307565
545.117061,266,629.389043
474.463501,221,632.899168
552.612083,283,637.21539
555.01292,284,641.784124
571.387525,277,647.087597
506.622918,244,654.45431
516.527988,246,659.867762
509.202402,244,664.160358
509.810733,245,668.061422
520.849617,260,672.830494
587.834031,289,679.254979
496.54743,232,684.0575
537.922777,266,689.091331
532.208575,260,694.043829
551.806731,256,698.404293
543.035369,260,703.027756
526.123179,264,707.304958
551.484115,269,712.121169
533.917302,256,716.566104
540.474126,268,721.045991
533.634679,254,725.408963
528.460667,266,729.826816
542.857141,266,734.401494
537.092501,261,738.81239
512.594994,249,743.197245
514.169422,250,747.385283
579.602181,285,752.498657
533.947279,250,756.904841
553.922683,277,761.766572
554.515572,277,766.523818
535.997588,263,771.926393
542.587799,260,777.071615
524.278319,249,782.176251
517.821484,250,787.647305
547.584902,274,792.928757
550.364641,282,797.895091
514.191409,253,802.68185
539.200698,255,807.35666
502.42029,226,811.826143
525.759293,254,816.131321
533.212294,267,820.886583
501.315176,236,824.944653
527.871774,254,829.444483
517.30792,249,833.666385
509.443744,253,838.151639
539.827849,262,842.82916
487.348571,229,846.765876
514.641892,246,850.946457
507.191146,243,855.284562
533.632764,254,859.796763
513.838374,247,864.113345
536.401444,254,868.482763
486.346107,234,872.592524
497.600153,236,876.627425
535.820332,262,881.233702
523.033841,252,885.63872
524.593472,255,890.628823
512.93029,242,895.282971
535.106756,263,900.062261
544.001115,268,904.740674
469.234728,215,908.566277
546.85835,269,913.351473
518.993165,259,918.022786
513.262655,248,922.411328
509.656959,246,926.862485
548.869356,271,931.89148
513.951494,250,936.260932
544.711728,257,940.989875
534.3144,265,945.625955
555.191589,276,950.777856
519.894927,255,955.400647
492.364725,237,959.856632
533.538018,263,964.672825
492.78594,243,969.29805
505.412509,236,973.594201
528.785191,272,978.733363
507.120672,252,983.388504
526.709391,255,988.281975
526.598362,250,992.856107
532.023948,257,997.913741
480.017432,223,1001.977711
565.422837,284,1007.381586
510.22311,253,1012.052343
484.546905,216,1016.510453
488.126644,233,1020.779945
548.537557,269,1025.988978
508.973789,244,1030.580526
519.22478,262,1035.576365
549.728259,274,1040.741947
498.783931,239,1045.441897
502.560367,245,1050.057609
547.15692,277,1055.455414
491.177565,247,1060.245759
486.997732,237,1064.8809
531.384344,270,1069.961272
529.316347,265,1075.18267
477.885013,217,1079.756603
511.614567,256,1086.848565
558.679953,286,1093.494783
523.639669,250,1099.282898
