#{"t_start": 1522281074.045828, "env_id": "Walker2d-v1"}
r,l,t
8.25411,22,0.368484
-3.119452,18,0.479835
2.848156,14,0.59199
7.171922,25,0.765679
7.78993,73,1.354208
201.315131,108,2.121513
397.871553,285,4.914708
262.910149,180,6.199302
29.644729,57,6.605563
68.291406,119,7.582476
60.623511,107,8.505581
304.534382,235,10.301108
282.668942,240,12.001416
77.91777,111,12.918492
129.297737,100,13.625281
66.348862,158,14.735779
68.291988,84,15.326824
243.287881,161,16.556774
257.933579,168,17.745274
309.569745,202,19.212727
90.571871,133,20.30694
365.903398,258,22.188167
700.528636,576,26.699683
692.018865,515,30.771448
417.975647,236,32.727376
430.581602,265,34.760223
387.403384,266,37.047042
65.257818,121,37.980588
73.760689,120,38.932241
97.172591,143,40.162082
407.990815,230,41.992213
439.636593,365,45.283584
493.8235,334,48.135883
519.6835,346,50.917712
110.242498,149,52.226744
492.146145,350,55.018051
231.97402,142,56.270999
523.831368,385,59.395461
487.823213,321,62.249265
106.526608,152,63.543645
783.988408,586,68.560981
84.155518,122,69.708175
607.297841,466,73.774489
142.33017,183,75.32544
496.892767,347,78.816875
490.10705,339,82.050804
499.566696,353,85.276944
811.000201,639,90.933138
634.289777,463,95.253816
575.46643,395,98.871336
568.420676,397,102.472923
450.222416,278,104.90322
548.049901,370,108.326717
471.253676,309,111.271301
527.140083,346,114.519094
488.965398,320,117.5351
594.714198,418,121.478572
462.32469,283,124.149414
370.870161,205,126.240818
409.581164,228,128.359384
444.937279,279,131.068204
371.717738,212,133.076151
462.882566,290,136.003087
485.129625,321,139.181352
546.23425,345,142.403148
412.238198,234,144.807873
424.8825,252,147.244676
385.588403,212,149.443799
437.762513,259,151.960655
418.841719,248,154.46954
445.438148,266,157.104205
383.919291,198,159.135686
412.273169,234,161.466295
476.300989,276,164.25799
411.477081,230,166.570162
393.059034,212,168.61506
421.117096,232,171.144729
504.556554,291,174.29025
380.754341,194,176.289886
437.078043,252,178.787996
