#{"t_start": 1522281074.090207, "env_id": "Walker2d-v1"}
r,l,t
-5.01135,16,0.288822
-3.001377,16,0.3853
-3.218483,15,0.494004
-4.896708,17,0.608998
27.216818,71,1.176011
5.756499,50,1.52685
121.959809,193,3.199053
344.118073,280,5.675036
88.810871,148,6.733467
11.921425,36,7.009579
219.729466,152,8.243094
34.276171,52,8.806577
380.708442,314,11.08903
69.880772,82,11.666944
5.941668,28,11.863745
121.537149,126,12.890071
-3.537503,18,13.015852
319.101425,232,14.648449
173.352416,168,15.930999
3.269022,17,16.057691
2.149058,18,16.174557
117.06734,173,17.402222
202.246834,209,18.911193
442.894974,329,21.434523
175.296016,212,22.995948
11.135122,27,23.18891
104.029894,164,24.518676
416.969295,266,26.617592
327.337586,245,28.594579
72.338371,120,29.518708
469.942934,300,31.993059
367.620763,243,33.854931
484.825719,290,36.300598
405.429861,226,38.058454
404.866544,248,40.133524
396.686289,214,41.835707
116.870774,162,43.303129
390.733237,243,45.438764
418.04882,267,47.583526
597.488983,411,51.056375
670.512654,513,55.273676
601.293334,472,59.208012
615.216516,464,63.284386
557.920574,404,66.786135
638.013229,455,70.695028
518.638891,350,73.800307
171.944455,207,75.54648
723.924206,581,81.194813
598.645643,406,85.064412
744.583306,580,90.189239
506.34208,359,93.589501
534.191005,370,97.024556
594.478681,403,100.567285
568.724484,404,104.181698
465.709999,277,106.790689
512.276045,341,109.869688
474.505715,291,112.706262
474.177465,327,115.814076
453.950341,273,118.273312
492.492922,290,121.071804
438.49721,262,123.51646
431.583322,253,126.074781
445.995541,279,128.69223
434.372784,271,131.306838
453.547139,297,134.287077
403.260727,237,136.532569
469.049725,291,139.429436
381.519907,218,141.480513
413.649357,240,143.896585
375.809656,204,145.843745
413.133309,235,148.137266
453.23561,270,150.942961
377.139578,210,152.939158
488.210484,304,156.081435
435.905995,256,158.53308
428.071512,242,161.045056
425.572803,239,163.368479
388.826715,216,165.658076
441.174979,243,168.031367
467.30696,287,171.070563
413.494673,244,173.641835
334.160079,172,175.529342
434.599393,253,178.062625
386.629191,217,180.358329
383.743694,201,182.403312
420.121425,248,185.142295
413.611443,226,187.56451
430.169971,241,190.184557
451.988266,264,192.926135
465.197291,226,195.378488
425.369554,216,197.680266
449.766174,231,200.103853
493.719203,249,202.929803
494.966348,244,205.464674
497.010314,244,208.979697
469.363746,224,211.911503
532.520233,278,215.887478
579.97379,300,219.05482
480.471627,227,221.637372
464.86185,230,224.052427
587.502464,298,227.430263
488.542941,233,229.865703
563.571428,276,233.098008
634.969375,286,236.343446
576.363265,256,239.069172
600.473757,254,241.994146
476.797865,225,244.452561
533.009671,244,247.275801
476.873376,225,249.821785
581.374355,280,253.047022
456.520777,223,255.488565
541.020508,265,258.500528
550.608794,252,261.363288
495.454231,234,263.921722
546.764392,259,267.036437
492.875342,220,269.511739
551.591096,272,272.792836
625.647371,292,276.272142
496.482506,207,278.615151
531.337204,252,281.702581
544.492802,269,284.910297
546.906475,267,288.129514
532.98147,241,291.011662
544.384774,265,294.306112
506.292511,224,296.968866
544.532894,266,300.219486
554.692805,271,303.40813
587.417403,253,306.602219
515.577797,254,309.665017
500.659401,237,312.598768
539.421969,259,315.747146
535.664907,254,318.911405
489.552483,224,321.596603
558.958781,253,324.780337
515.469069,239,327.660264
603.715771,275,331.0545
534.169714,248,333.954268
504.489733,263,337.324499
545.50542,266,340.495785
611.642812,285,344.148163
537.845227,235,346.989966
567.639877,269,350.403944
529.070488,236,353.237438
602.912108,292,356.996173
513.346501,240,359.929339
577.930698,284,363.586569
553.991798,275,367.001572
619.569941,290,370.786724
478.205044,222,373.520127
545.628638,260,377.613272
496.878964,221,380.550825
529.710397,254,383.884615
597.657837,286,387.465304
522.377768,253,390.854816
529.064992,246,393.9606
522.56351,239,397.356109
560.865192,245,400.536098
551.121175,243,403.792197
526.023469,223,406.818824
515.341229,229,410.030011
496.618048,235,413.162835
