#{"t_start": 1522281074.031371, "env_id": "Walker2d-v1"}
r,l,t
-0.139899,24,0.39373
-0.840136,31,0.612428
-1.172489,27,0.825548
2.360335,15,0.965305
3.412377,68,1.451349
264.050616,159,2.893268
342.102775,289,5.418049
151.151193,210,6.911862
154.564751,141,8.087355
-1.391521,19,8.225664
2.138407,21,8.370434
-5.091717,13,8.621988
1.451317,22,8.808426
4.097617,24,9.004815
61.293245,94,9.687361
342.892287,277,11.666734
230.94478,189,13.139369
137.862707,197,14.523374
144.822021,200,16.029847
124.407028,169,17.228739
37.449902,70,17.714696
473.010174,317,20.145798
92.798861,139,21.173473
255.522017,243,22.947329
137.904141,168,24.313349
41.283987,47,24.65457
379.287554,269,26.778423
107.542954,149,28.033224
540.845181,352,30.742322
300.384899,208,32.483717
401.726392,235,34.29221
311.024726,175,35.803342
383.31418,239,37.703534
407.024143,273,39.968233
393.297666,217,41.700289
385.724836,226,43.794514
279.496995,201,45.48051
40.460103,83,46.141818
108.80971,150,47.342544
41.630141,83,48.182854
411.855893,250,50.205823
839.847757,693,55.858926
512.692161,354,58.84574
124.568145,173,60.27668
184.474127,154,61.712976
545.374275,367,65.003713
452.653895,304,67.508512
122.071464,178,69.087623
183.851642,220,70.918948
529.271272,361,74.117171
1069.918216,909,82.851086
531.803353,365,86.083036
127.18261,167,87.639178
767.245244,581,92.954564
481.077453,314,95.705468
469.374709,302,98.505417
149.865448,205,100.296966
466.85236,282,102.905892
543.510377,375,106.353863
449.03337,284,108.875192
384.939278,236,111.159788
516.021517,326,114.194555
422.094298,257,116.67158
504.272425,322,119.726381
379.330821,223,121.76704
504.204022,325,124.984775
379.147991,211,126.979505
417.207827,235,129.301174
414.502499,251,131.622015
419.677139,248,133.974842
498.073958,315,137.111532
468.486566,288,139.998856
500.41443,318,142.962222
460.272194,289,145.873589
372.806937,201,147.864518
385.144851,219,150.10403
452.862284,268,152.720754
450.321155,265,155.461431
377.943076,203,157.443
390.342957,220,159.709656
443.434347,259,162.234453
391.336623,213,164.419612
426.351121,242,166.845769
415.429544,234,169.29181
444.037418,249,171.803348
477.746208,242,174.477168
362.150447,202,176.576239
403.751475,224,178.790971
421.356925,220,181.144957
365.801829,198,183.247347
425.146153,242,185.879372
433.722095,243,188.442222
489.772004,253,191.197491
519.737857,280,194.096514
423.922957,224,196.563808
443.406745,223,198.927937
482.9999,249,201.722229
445.273765,235,204.196172
492.030859,247,207.351932
529.174717,270,210.914245
524.759809,251,214.516361
480.059393,226,217.187592
511.303081,236,219.88047
527.29039,251,222.52536
601.997974,267,225.566337
634.883531,301,228.731398
525.907756,252,231.655215
516.734274,246,234.29211
593.300978,302,237.738873
534.222134,250,240.415944
483.555129,217,242.91897
506.731263,253,245.682791
641.136822,309,249.328696
452.053122,231,251.843382
559.054771,261,254.868892
516.331438,261,257.717505
497.792314,241,260.52662
573.243823,284,263.695604
464.080833,222,266.379737
526.878123,250,269.219326
522.11599,239,272.052063
597.890348,257,274.97947
586.925357,279,278.381152
476.241884,222,280.964847
579.102993,294,284.561809
565.954582,281,287.964878
530.546178,252,290.94742
471.150421,206,293.467045
657.242797,310,297.23309
519.556217,235,300.146088
537.957228,258,303.175583
578.859036,249,306.280367
571.350681,274,309.610068
520.693455,260,312.820572
610.063855,295,316.369383
528.091068,237,319.345199
467.918812,231,322.089999
609.347187,288,325.722498
559.291436,251,328.712071
564.447274,254,331.871607
567.59619,255,334.905439
496.623558,242,338.019703
560.246557,274,341.254452
527.995983,243,344.41742
539.786441,249,347.43867
602.248326,282,350.993674
576.862103,247,353.949588
580.642976,272,357.498003
532.852072,261,360.696347
507.938908,243,363.834905
476.636492,217,366.472334
573.608408,276,370.144863
518.208435,232,373.011238
504.195649,244,376.776035
529.685959,231,379.991911
514.489852,243,383.162764
561.106383,259,386.420769
551.377098,266,389.953795
520.508573,224,392.741741
482.318899,213,395.813304
513.451119,222,398.654485
535.203887,259,402.174501
539.226144,257,405.512548
522.655322,237,408.853876
519.776718,238,412.055683
549.991775,261,415.614374
498.880325,228,418.742205
507.896307,229,421.890911
534.283156,230,424.95026
496.122802,239,428.104885
575.463082,265,431.827748
571.479232,276,435.625183
514.731548,221,438.59232
516.962408,227,441.716359
504.071426,228,444.974404
518.819954,244,448.295055
531.26414,231,451.559002
587.385375,278,455.321915
515.411014,239,458.755514
548.53356,255,462.284902
557.144424,273,466.175817
506.249184,226,469.315167
528.481293,255,473.071172
493.457379,223,476.340017
574.020179,269,480.396213
571.15061,282,484.732162
513.863555,255,488.480396
509.547048,244,491.925796
541.077659,254,495.659808
528.372894,253,499.21484
543.626438,246,502.859954
498.202054,234,506.189083
498.577109,214,509.550217
558.774428,265,513.376093
491.853029,226,516.716042
539.258738,268,520.591455
497.705381,233,523.987084
490.039104,234,527.380096
567.484091,277,531.652598
510.802234,234,535.286368
548.732634,254,539.684981
523.342546,255,543.693787
499.098861,242,547.545904
484.869047,221,551.400018
525.490549,253,556.046864
503.385537,226,559.927177
529.003853,260,564.332495
497.569479,238,567.894938
528.58327,259,571.843366
582.109932,284,576.074005
521.445276,259,580.043744
525.168024,253,583.75189
