#{"t_start": 1522281073.999537, "env_id": "Walker2d-v1"}
r,l,t
1.181293,13,0.356024
-7.789591,20,0.481008
-1.428746,14,0.580347
-2.353535,27,0.765864
15.240772,58,1.237225
238.802933,133,2.205145
-3.659303,11,2.306745
-3.758048,10,2.633558
52.22626,97,3.351971
-0.255408,18,3.48286
1.409259,16,3.592741
293.674155,226,5.657747
66.912047,74,6.189906
78.521774,137,7.217219
131.605185,200,8.953923
234.470705,161,10.14419
161.633854,201,11.579267
285.807817,211,13.199554
142.432835,116,14.01348
149.563918,143,15.022031
34.110703,48,15.353804
121.397017,184,16.75135
229.039146,275,18.722348
595.092858,564,22.971399
487.643705,366,25.92388
85.332919,127,26.862704
94.541799,127,27.959734
495.030018,392,30.973493
444.701831,272,33.195292
79.338143,127,34.185054
409.843025,237,36.165871
462.901321,245,38.121358
57.636996,103,38.946118
41.695712,79,39.680397
93.233782,144,40.847738
342.066356,197,42.379847
500.637181,374,45.743823
432.385565,261,48.007891
388.739545,237,49.933724
407.041451,263,52.14106
547.572039,419,55.487509
216.493834,264,57.748916
671.424545,519,62.186777
270.523383,322,65.106105
546.338046,406,68.436539
479.741537,342,71.38146
106.314997,146,72.612147
375.326716,233,74.752196
635.51478,457,79.235271
529.639576,363,82.725657
633.927836,457,86.740873
470.765177,306,89.483054
501.718176,320,92.587034
591.069038,428,96.351411
619.928189,446,100.389307
542.413151,370,103.745764
367.98851,214,105.784304
526.817615,367,109.048761
481.10478,314,112.047215
471.799695,306,115.044268
549.573351,343,118.140015
421.383285,255,120.619568
550.341969,372,124.098504
452.8876,276,126.836842
405.46237,240,129.089267
394.054622,235,131.382491
492.993125,320,134.568971
432.538247,259,137.032711
421.693685,247,139.511507
357.598709,210,141.486318
388.291539,226,143.627299
381.644425,222,145.886134
406.97943,231,148.138864
457.380177,278,151.025286
450.951385,273,153.608775
450.178993,263,156.366982
402.210428,226,158.534465
416.631569,234,160.970976
426.931909,254,163.445114
389.901708,223,165.799558
369.802787,196,167.710299
382.39778,205,169.924673
376.625731,204,171.937733
404.89642,220,174.403319
473.738337,288,177.339375
428.581361,247,179.909024
392.214314,217,182.142869
424.835053,244,184.824845
439.014161,238,187.3889
468.958321,256,190.12048
422.234944,237,192.626732
459.344167,223,194.899395
483.42399,254,197.724333
459.459856,227,200.103271
488.838499,243,202.867164
544.576222,241,205.365173
495.993559,246,208.866695
467.087183,226,211.855926
541.092278,264,215.588092
569.483734,282,218.669
528.846471,234,221.341052
514.170155,233,223.74057
594.638302,267,226.82044
488.007783,224,229.171242
462.261673,246,232.075389
641.591433,292,235.160392
585.267918,280,238.363031
660.781279,315,241.931512
449.839558,218,244.325638
458.666784,230,246.788923
516.468136,242,249.693945
522.497334,264,252.570963
527.178001,267,255.687299
548.679733,250,258.527432
423.500877,213,260.965867
513.95993,237,263.559207
503.211647,218,266.19458
511.36841,244,268.941088
546.840491,270,272.166233
519.601113,233,274.805539
599.956549,276,278.15638
540.554433,260,281.174196
566.594246,274,284.545189
578.969115,281,287.95145
554.485469,273,291.204092
577.376036,271,294.600775
536.590468,256,297.567928
566.79631,265,300.817359
490.828037,232,303.592185
535.996218,234,306.565536
509.369833,237,309.416916
541.327289,262,312.635691
508.836357,249,315.655096
581.33312,273,319.056279
511.910459,250,322.044512
556.613499,249,325.207862
508.353267,234,327.997152
612.253262,284,331.497763
514.047241,224,334.110916
512.541869,232,337.116055
496.736144,238,339.997805
574.702227,279,343.521777
555.08155,253,346.578559
594.728111,269,350.010712
571.500454,272,353.303533
595.293318,301,357.17143
560.598668,277,360.560532
509.116429,238,363.625317
510.052057,244,366.607571
613.253091,280,370.336496
560.566701,258,373.48837
530.29853,241,377.268777
511.88953,238,380.516244
563.551549,275,384.093781
578.883408,278,387.642408
571.548227,264,391.08759
542.534726,243,394.185242
520.067558,225,397.388705
598.758089,287,401.070347
539.634296,254,404.541758
556.307433,267,408.305792
523.580845,230,411.373297
471.691915,228,414.362327
521.729399,243,417.840172
538.113291,258,421.230733
497.744285,235,424.448774
502.94631,238,427.636322
483.506874,226,430.777963
512.803314,225,433.82359
591.648036,287,437.807755
543.10751,265,441.474363
541.69243,257,445.065825
544.907623,271,448.71827
516.148897,251,452.244961
556.952669,268,456.082857
523.18836,258,459.665172
562.612865,281,463.659661
540.730067,267,467.367567
526.479403,239,470.842358
523.212998,265,474.567878
527.026537,258,478.524514
526.130664,243,481.975355
572.441729,271,486.323769
551.077042,264,490.076603
486.664523,224,493.394402
512.590578,243,496.837194
539.652777,258,500.601839
517.585979,253,504.228102
554.269493,284,508.464709
551.675428,270,512.464279
532.196857,252,516.190609
503.637056,238,519.605751
515.764473,221,522.8631
496.12589,226,526.101396
552.189057,261,530.062642
511.29289,228,533.595781
545.84069,272,538.173938
519.62042,249,542.226683
491.26165,235,545.863935
496.76242,229,549.605586
530.478463,256,554.443445
535.641673,264,558.919963
524.468682,253,563.353327
495.799731,229,566.814125
509.689914,236,570.426538
470.823619,218,573.641871
531.302665,256,577.608583
551.350481,284,581.823196
525.017838,247,585.606333
534.740177,262,589.541255
543.567093,272,593.690635
534.078766,262,597.642973
527.392313,255,601.663716
555.631985,265,605.60883
563.553104,273,609.818899
516.67007,246,613.634613
510.264829,241,617.574868
575.665125,270,621.618042
578.712148,279,625.972761
532.731601,255,629.906071
526.720712,256,633.954135
520.048259,246,637.708708
562.620631,278,642.154603
537.556553,261,647.97492
527.721704,259,655.044605
508.207554,245,660.347615
499.091084,217,664.114524
523.447801,255,668.165966
560.50961,275,673.631883
537.606897,262,679.217909
553.589886,281,684.898414
527.966328,248,689.659966
548.975823,255,694.416469
545.575416,272,699.219611
586.899553,286,704.113134
521.105043,245,708.255418
540.92723,263,712.758854
516.68923,247,717.065297
571.400477,273,721.580736
527.948418,260,726.01614
516.51861,244,730.130946
548.786341,277,734.900051
516.978355,251,739.143137
521.343704,253,743.593725
541.269483,277,748.295965
528.85203,259,753.059802
535.889633,259,757.513232
528.570611,260,762.067861
504.300134,241,766.188491
514.782772,246,771.26641
538.299382,271,776.677567
512.362825,245,781.705116
542.475272,260,787.363187
522.356064,255,792.177278
556.931258,269,797.069851
543.562544,274,802.18149
526.17413,256,806.554105
497.483448,239,811.560617
491.483579,232,815.480853
502.932483,239,819.842869
571.066724,285,824.672691
525.838137,256,829.238601
532.337309,263,833.812268
532.240011,270,838.435793
523.67763,254,842.962825
545.076434,273,847.741178
500.265121,242,851.967835
511.241072,249,856.207797
538.511157,265,861.105613
484.832936,225,864.883499
516.207034,250,869.337934
504.973434,243,873.454324
536.892622,274,878.283936
544.571518,258,882.636944
547.680372,273,887.60361
526.812067,267,893.091323
524.425347,257,897.718659
516.362427,251,902.145103
544.254131,264,906.835177
543.412099,263,911.469573
521.868137,256,916.108724
542.541637,267,920.878671
489.423129,225,924.926605
509.905149,242,929.178535
525.236258,253,933.883228
502.186981,244,938.124688
522.109544,257,942.791283
515.107524,247,947.209793
515.97337,249,951.919854
531.597293,260,956.603293
511.634663,248,961.382107
521.885025,264,966.108654
538.580565,266,971.209152
434.555421,209,974.952062
532.613972,272,980.205321
507.049384,238,984.517884
547.988984,276,989.830305
535.028575,259,994.643891
500.140617,246,999.389397
499.218023,251,1003.953682
527.479693,258,1008.909254
505.811494,245,1013.446615
542.045918,266,1018.835173
543.146828,262,1023.685936
530.142275,256,1028.623703
491.1805,237,1033.070393
481.692772,257,1038.000015
496.157507,246,1042.627245
522.946227,256,1047.639134
505.279238,247,1052.347818
488.496157,232,1056.911214
499.504467,246,1061.556121
482.751376,227,1066.088229
498.798689,241,1070.634569
532.228768,276,1076.041838
499.223773,235,1081.178085
510.414628,244,1088.340039
529.426432,261,1094.057392
518.478602,253,1099.866477
