#{"t_start": 1522281073.931899, "env_id": "Walker2d-v1"}
r,l,t
-2.344061,14,0.431878
-3.953909,13,0.512598
-2.202008,20,0.648921
10.945964,42,0.982668
0.935765,14,1.103152
8.433722,124,1.984288
349.282199,232,4.01663
100.45045,168,5.616346
241.549973,160,6.752069
56.583175,82,7.467822
291.046167,212,9.237973
94.731854,141,10.265895
304.676784,234,11.925941
252.776184,202,13.478931
51.324226,104,14.222305
30.165883,91,14.855456
100.223275,164,16.111959
322.460365,284,18.11719
36.050982,72,18.647975
146.215859,185,20.107554
6.792269,22,20.268371
709.969496,552,24.452801
804.354759,590,29.114767
136.863234,194,30.647822
372.531164,274,32.877099
320.510007,183,34.292768
395.432382,221,36.150388
132.687406,197,37.743376
37.289174,77,38.339432
66.477135,111,39.213885
175.359369,145,40.470397
98.858425,156,41.726129
494.722656,353,44.820288
518.776267,335,47.592124
419.256407,248,49.779611
346.11006,210,51.440397
677.967072,471,55.317695
386.58341,233,57.303762
354.676994,231,59.194581
668.70781,485,63.435682
374.331553,236,65.581725
417.724247,279,67.885525
919.744445,724,74.190147
531.983963,372,77.360552
679.278703,540,82.955522
703.08452,499,87.347065
550.630972,399,90.899021
530.266025,364,94.36174
397.104943,245,96.550254
494.488309,313,99.417644
639.29453,463,103.579348
472.329852,294,106.332762
446.096177,292,108.930838
582.759853,399,112.772083
491.259792,315,115.766855
552.475027,371,119.121514
464.922109,299,122.000617
447.908657,279,124.761994
480.350219,300,127.620535
374.622144,217,129.766838
381.563711,208,131.686662
383.05044,233,133.919116
377.477652,228,136.231063
428.242788,245,138.555177
466.113059,283,141.365498
403.374258,230,143.542216
406.900268,232,145.876653
389.632682,214,147.981659
401.088111,227,150.362729
444.893675,260,152.85947
438.91626,254,155.476197
374.210184,206,157.48981
399.280109,219,159.736642
410.070873,221,161.91944
433.948286,253,164.476949
480.706175,267,167.16661
393.879129,215,169.42176
405.218073,227,171.699734
455.355531,269,174.65521
440.897688,257,177.272878
391.077485,218,179.556206
384.814844,204,181.644732
422.016669,242,184.197632
425.739465,210,186.506664
397.552481,207,188.698966
472.515559,248,191.405123
455.516233,239,193.895053
479.341049,281,196.963977
432.304963,208,199.162879
466.081231,237,201.819546
472.182265,232,204.256031
480.884085,251,207.504972
537.248262,281,211.193561
490.032374,232,214.496853
498.40376,252,217.481894
482.602118,239,220.194843
559.998868,266,223.025392
646.14814,276,226.160493
537.178998,248,228.745782
574.617853,300,232.220155
514.698296,238,234.743429
597.0487,314,238.318344
659.472254,288,241.437495
520.753053,253,244.352795
530.718906,271,247.449309
572.816938,259,250.391442
515.237533,269,253.474138
488.370818,241,256.150802
494.229121,226,258.711227
501.746647,236,261.381147
549.287908,280,264.646262
599.527227,282,267.889353
510.498854,247,270.772842
504.845358,227,273.395021
607.213916,261,276.536538
490.642567,218,279.038441
518.925001,260,282.182491
569.547564,294,285.647635
521.95072,248,288.675391
600.175242,283,292.02
553.734657,251,295.240081
554.017393,246,298.115908
475.160095,219,300.801516
534.402614,250,303.768275
531.697391,257,306.999916
545.432239,268,310.219943
496.106839,239,313.170873
553.020494,271,316.461555
538.148862,243,319.500894
481.645989,225,322.18236
544.487942,260,325.473419
472.827049,204,327.934636
632.316018,294,331.553811
591.554663,259,334.619093
523.718203,267,338.046269
551.39429,268,341.220338
575.842801,266,344.636234
587.393925,272,347.913326
594.99628,279,351.44565
520.670213,253,354.492918
594.712214,279,358.096874
550.624738,258,361.262811
514.984799,239,364.34759
510.982302,239,367.362677
593.324014,279,370.966472
478.349591,218,373.676911
540.307212,255,377.698267
534.374385,239,380.871187
546.530512,271,384.40911
551.043317,252,387.566821
514.086168,245,390.844956
541.507289,255,394.069
567.383898,279,398.002365
543.218605,268,401.595639
561.23866,279,405.237997
516.048818,242,408.642994
517.87178,236,411.772925
525.88917,268,415.502392
506.283947,251,418.90529
512.610451,224,421.989298
487.887154,214,424.846395
509.658235,225,427.816865
529.952025,252,431.351952
555.37624,288,435.336702
557.240158,269,438.896857
530.427919,250,442.496618
552.688253,259,446.024354
480.454505,218,448.970722
532.173771,266,452.688016
527.330165,255,456.346042
535.056191,256,459.884359
514.597539,243,463.390999
483.599224,225,466.463394
519.036094,221,469.535966
551.125252,262,473.374391
540.885836,268,477.310488
551.357898,266,481.249274
575.911215,272,485.690526
547.876379,269,489.433627
526.047977,234,492.886769
517.876639,250,496.424612
548.072305,258,500.241833
560.250318,272,504.098406
523.362477,258,507.933012
507.893435,244,511.601602
490.757767,226,514.967717
549.302051,271,518.831429
511.510956,244,522.446365
557.153021,259,526.157227
583.189687,279,530.350985
554.502393,260,534.375573
526.992708,257,538.817986
556.473491,266,543.069305
538.817899,256,546.954007
545.250616,268,551.694643
559.197262,277,556.744211
544.828319,274,561.339987
480.613192,215,564.946631
568.607788,271,569.0271
525.96417,261,572.970858
508.809739,236,576.555773
487.341505,229,580.021146
531.085665,263,583.919986
550.306699,272,588.114465
517.014213,251,591.905443
500.372147,233,595.488232
555.591851,278,599.683253
536.857628,266,603.807933
525.478189,261,607.707514
516.588853,257,611.825754
496.351376,230,615.356971
527.49848,248,619.298891
504.976026,241,622.903857
495.299333,226,626.571523
531.500327,255,630.452905
495.277137,231,634.102136
570.704501,279,638.377153
536.994526,271,642.716653
571.311891,291,649.91286
575.331574,268,656.863176
510.989039,252,661.926069
501.953214,235,665.726213
490.697998,233,669.580273
505.480663,239,674.737814
561.569722,268,680.339646
553.666574,267,685.576409
538.926261,261,690.738019
511.443744,242,695.030437
531.637946,265,699.704271
525.128014,256,704.044716
545.787248,275,708.638922
509.251634,246,712.964865
526.560458,257,717.415747
536.970014,268,721.855942
532.20031,263,726.362611
497.401539,232,730.21171
497.82554,232,734.268041
513.920687,254,738.591369
524.353073,257,743.068689
580.299515,282,747.790068
512.205722,248,752.296169
510.884061,243,756.612511
498.943933,235,760.766284
512.794312,248,765.009023
561.297801,276,770.369861
532.793205,266,775.688584
533.439157,259,781.033082
571.781408,280,787.052552
551.879038,282,792.493224
518.275968,248,796.9148
542.308784,271,802.063314
517.408211,256,806.385272
521.313871,254,811.72584
513.932163,245,815.833162
520.440745,250,820.3384
530.178232,261,824.747227
562.553932,270,829.548775
522.25774,249,833.940623
545.431204,261,838.399839
528.043589,255,842.939194
523.938914,256,847.370462
510.965625,247,851.676378
523.955774,256,856.10039
521.230598,253,860.72335
545.972098,276,865.38093
500.330444,230,869.498504
479.701079,218,873.195608
507.326903,249,877.63166
538.594255,256,881.918325
530.983539,258,886.649504
514.624872,256,891.799794
495.12152,234,896.181857
521.29668,254,900.617009
529.127479,256,905.266324
539.971147,269,909.848726
549.558108,266,914.806795
537.351677,277,919.594051
517.628022,246,924.087881
518.632254,244,928.358192
485.330203,227,932.600436
488.064974,230,936.610883
511.916343,256,941.35038
519.871502,248,945.679421
543.691477,259,950.562546
496.835852,241,954.895956
526.149409,264,959.873765
513.921099,255,964.583241
553.700538,276,969.734046
540.301852,266,974.54771
517.602322,254,979.440746
502.446572,247,984.010153
523.208317,252,988.806614
539.522349,263,993.751394
526.245139,263,998.784248
485.563476,232,1003.020968
501.657653,240,1007.647735
528.385378,261,1012.490845
508.166161,237,1017.260009
513.88881,243,1021.813889
533.188299,259,1026.808903
493.489448,246,1031.38987
488.379884,234,1035.87915
512.501696,247,1040.538059
519.078717,255,1045.509821
520.485495,271,1050.634941
544.221527,266,1055.784946
504.104695,249,1060.597478
543.832827,273,1065.974907
503.70986,253,1070.715323
537.200308,253,1075.730212
516.980206,273,1081.667028
528.546729,257,1089.144368
489.893632,233,1094.199264
540.415038,274,1100.329326
